[NaiveBayes  - avg:242.09, std:94.55195535422064
1, SVM -C 0.1 -S 0: 888
0, SVM -C 0.1 -S 0: 670
2, SVM -C 0.1 -S 0: 620
7, SVM -C 0.1 -S 1: 32
6, SVM -C 0.1 -S 1: 28
5, SVM -C 0.1 -S 1: 26
0, SVM -C 0.1 -S 1: 21
3, SVM -C 0.1 -S 1: 17
1, SVM -C 0.1 -S 1: 8
2, SVM -C 0.1 -S 1: 5
4, SVM -C 0.1 -S 1: 1
2, SVM -C 0.1 -S 2: 6
7, SVM -C 0.1 -S 2: 4
1, SVM -C 0.1 -S 2: 2
0, SVM -C 0.1 -S 3: 14
7, SVM -C 0.1 -S 3: 4
6, SVM -C 0.1 -S 3: 4
3, SVM -C 0.1 -S 3: 4
5, SVM -C 0.1 -S 3: 3
2, SVM -C 0.1 -S 3: 1
1, SVM -C 0.1 -S 4: 18
0, SVM -C 0.1 -S 4: 16
6, SVM -C 0.1 -S 4: 6
4, SVM -C 0.1 -S 4: 3
2, SVM -C 0.1 -S 4: 1
7, SVM -C 0.1 -S 5: 320
5, SVM -C 0.1 -S 5: 132
4, SVM -C 0.1 -S 5: 82
1, SVM -C 0.1 -S 5: 69
0, SVM -C 0.1 -S 5: 43
6, SVM -C 0.1 -S 5: 39
2, SVM -C 0.1 -S 5: 6
3, SVM -C 0.1 -S 5: 2
2, SVM -C 0.1 -S 6: 12
5, SVM -C 0.1 -S 7: 1476
6, SVM -C 0.1 -S 7: 1406
7, SVM -C 0.1 -S 7: 1001
0, SVM -C 0.1 -S 7: 892
4, SVM -C 0.1 -S 7: 799
3, SVM -C 0.1 -S 7: 792
1, SVM -C 0.1 -S 7: 731
2, SVM -C 0.1 -S 7: 664
6, SVM -C 1 -S 0: 86
3, SVM -C 1 -S 0: 47
0, SVM -C 1 -S 0: 34
4, SVM -C 1 -S 0: 33
5, SVM -C 1 -S 0: 24
7, SVM -C 1 -S 0: 17
1, SVM -C 1 -S 0: 9
2, SVM -C 1 -S 0: 9
1, SVM -C 1 -S 1: 59
0, SVM -C 1 -S 1: 10
6, SVM -C 1 -S 1: 5
3, SVM -C 1 -S 1: 4
5, SVM -C 1 -S 1: 4
2, SVM -C 1 -S 1: 1
6, SVM -C 1 -S 3: 9
3, SVM -C 1 -S 3: 5
1, SVM -C 1 -S 3: 5
7, SVM -C 1 -S 3: 5
1, SVM -C 1 -S 4: 24
7, SVM -C 1 -S 4: 24
5, SVM -C 1 -S 4: 6
2, SVM -C 1 -S 4: 5
0, SVM -C 1 -S 5: 642
3, SVM -C 1 -S 5: 588
7, SVM -C 1 -S 5: 472
5, SVM -C 1 -S 5: 454
2, SVM -C 1 -S 5: 339
1, SVM -C 1 -S 5: 319
6, SVM -C 1 -S 5: 192
4, SVM -C 1 -S 5: 144
7, SVM -C 1 -S 6: 382
0, SVM -C 1 -S 6: 375
6, SVM -C 1 -S 6: 356
1, SVM -C 1 -S 6: 234
5, SVM -C 1 -S 6: 222
3, SVM -C 1 -S 6: 193
2, SVM -C 1 -S 6: 191
4, SVM -C 1 -S 6: 108
5, SVM -C 1 -S 7: 103
1, SVM -C 1 -S 7: 38
2, SVM -C 1 -S 7: 16
6, SVM -C 1 -S 7: 16
7, SVM -C 1 -S 7: 11
0, SVM -C 1 -S 7: 7
3, SVM -C 1 -S 7: 5
4, SVM -C 1 -S 7: 5
2, SVM -C 10 -S 0: 2
3, SVM -C 10 -S 0: 2
1, SVM -C 10 -S 1: 3
3, SVM -C 10 -S 2: 1
6, SVM -C 10 -S 4: 3
0, SVM -C 10 -S 4: 1
7, SVM -C 10 -S 6: 3745
3, SVM -C 10 -S 6: 3414
0, SVM -C 10 -S 6: 3284
4, SVM -C 10 -S 6: 2240
2, SVM -C 10 -S 6: 2099
5, SVM -C 10 -S 6: 1797
6, SVM -C 10 -S 6: 1402
1, SVM -C 10 -S 6: 1347
7, SVM -C 10 -S 7: 62
4, SVM -C 10 -S 7: 43
5, SVM -C 10 -S 7: 10
2, SVM -C 10 -S 7: 2
1, SVM -C 10 -S 7: 2
0, SVM -C 10 -S 7: 1
6, SVM -C 10 -S 7: 1
1, SVM -C 100 -S 0: 17
2, SVM -C 100 -S 0: 9
0, SVM -C 100 -S 0: 5
5, SVM -C 100 -S 0: 1
3, SVM -C 100 -S 0: 1
2, SVM -C 100 -S 1: 48
0, SVM -C 100 -S 1: 48
1, SVM -C 100 -S 2: 4
6, SVM -C 100 -S 2: 4
7, SVM -C 100 -S 2: 4
7, SVM -C 100 -S 3: 9
2, SVM -C 100 -S 3: 8
4, SVM -C 100 -S 3: 8
0, SVM -C 100 -S 4: 23
5, SVM -C 100 -S 4: 20
6, SVM -C 100 -S 4: 20
2, SVM -C 100 -S 4: 8
1, SVM -C 100 -S 4: 1
2, SVM -C 100 -S 6: 361
5, SVM -C 100 -S 6: 348
0, SVM -C 100 -S 6: 259
1, SVM -C 100 -S 6: 180
6, SVM -C 100 -S 6: 117
4, SVM -C 100 -S 6: 99
7, SVM -C 100 -S 6: 65
3, SVM -C 100 -S 6: 60
1, SVM -C 100 -S 7: 8
3, SVM -C 100 -S 7: 7
2, SVM -C 100 -S 7: 3
0, SVM -C 100 -S 7: 1
5, SVM -C 100 -S 7: 1
7, SVM -C 100 -S 7: 1]

feature-classifier with explicit else
[7, NaiveBayes : 16199
4, NaiveBayes : 8662
6, NaiveBayes : 8536
5, NaiveBayes : 7932
3, NaiveBayes : 6742
1, NaiveBayes : 6687
0, NaiveBayes : 5383
2, NaiveBayes : 3725
4, SVM -C 0.01 -S 0: 2902
6, SVM -C 0.01 -S 0: 1044
1, SVM -C 0.01 -S 0: 964
0, SVM -C 0.01 -S 0: 938
5, SVM -C 0.01 -S 0: 453
2, SVM -C 0.01 -S 0: 416
3, SVM -C 0.01 -S 0: 375
7, SVM -C 0.01 -S 0: 296
7, SVM -C 0.01 -S 1: 1648
1, SVM -C 0.01 -S 1: 1086
5, SVM -C 0.01 -S 1: 840
2, SVM -C 0.01 -S 1: 714
0, SVM -C 0.01 -S 1: 672
3, SVM -C 0.01 -S 1: 665
4, SVM -C 0.01 -S 1: 547
6, SVM -C 0.01 -S 1: 545
7, SVM -C 0.01 -S 2: 3317
1, SVM -C 0.01 -S 2: 2849
3, SVM -C 0.01 -S 2: 2445
4, SVM -C 0.01 -S 2: 2025
2, SVM -C 0.01 -S 2: 1653
6, SVM -C 0.01 -S 2: 1399
0, SVM -C 0.01 -S 2: 1307
5, SVM -C 0.01 -S 2: 1056
1, SVM -C 0.01 -S 3: 2214
7, SVM -C 0.01 -S 3: 2066
3, SVM -C 0.01 -S 3: 1838
6, SVM -C 0.01 -S 3: 1717
0, SVM -C 0.01 -S 3: 1534
4, SVM -C 0.01 -S 3: 1288
5, SVM -C 0.01 -S 3: 759
2, SVM -C 0.01 -S 3: 747
1, SVM -C 0.01 -S 4: 7976
7, SVM -C 0.01 -S 4: 5603
3, SVM -C 0.01 -S 4: 4520
6, SVM -C 0.01 -S 4: 4064
4, SVM -C 0.01 -S 4: 3194
5, SVM -C 0.01 -S 4: 2033
2, SVM -C 0.01 -S 4: 2022
0, SVM -C 0.01 -S 4: 1572
4, SVM -C 0.01 -S 7: 5185
6, SVM -C 0.01 -S 7: 2430
0, SVM -C 0.01 -S 7: 1702
2, SVM -C 0.01 -S 7: 1363
7, SVM -C 0.01 -S 7: 1009
5, SVM -C 0.01 -S 7: 958
1, SVM -C 0.01 -S 7: 913
3, SVM -C 0.01 -S 7: 650
5, SVM -C 0.1 -S 0: 8302
6, SVM -C 0.1 -S 0: 6804
4, SVM -C 0.1 -S 0: 6037
7, SVM -C 0.1 -S 0: 4388
1, SVM -C 0.1 -S 0: 3388
0, SVM -C 0.1 -S 0: 3161
3, SVM -C 0.1 -S 0: 2672
2, SVM -C 0.1 -S 0: 2324
5, SVM -C 0.1 -S 1: 10
2, SVM -C 0.1 -S 1: 10
1, SVM -C 0.1 -S 1: 7
3, SVM -C 0.1 -S 1: 3
7, SVM -C 0.1 -S 1: 1
6, SVM -C 0.1 -S 1: 1
6, SVM -C 0.1 -S 2: 31
5, SVM -C 0.1 -S 2: 3
7, SVM -C 0.1 -S 2: 2
0, SVM -C 0.1 -S 2: 2
2, SVM -C 0.1 -S 2: 1
0, SVM -C 0.1 -S 3: 15
4, SVM -C 0.1 -S 3: 15
1, SVM -C 0.1 -S 3: 9
3, SVM -C 0.1 -S 3: 5
5, SVM -C 0.1 -S 3: 1
2, SVM -C 0.1 -S 3: 1
2, SVM -C 0.1 -S 4: 12
3, SVM -C 0.1 -S 5: 152
2, SVM -C 0.1 -S 5: 128
1, SVM -C 0.1 -S 5: 87
4, SVM -C 0.1 -S 5: 84
5, SVM -C 0.1 -S 5: 66
6, SVM -C 0.1 -S 5: 64
7, SVM -C 0.1 -S 5: 61
0, SVM -C 0.1 -S 5: 57
5, SVM -C 0.1 -S 7: 2412
6, SVM -C 0.1 -S 7: 1450
4, SVM -C 0.1 -S 7: 1409
0, SVM -C 0.1 -S 7: 1247
1, SVM -C 0.1 -S 7: 1228
7, SVM -C 0.1 -S 7: 1090
3, SVM -C 0.1 -S 7: 696
2, SVM -C 0.1 -S 7: 627
4, SVM -C 1 -S 0: 107
3, SVM -C 1 -S 0: 98
5, SVM -C 1 -S 0: 70
0, SVM -C 1 -S 0: 51
7, SVM -C 1 -S 0: 35
1, SVM -C 1 -S 0: 18
2, SVM -C 1 -S 0: 11
6, SVM -C 1 -S 0: 8
2, SVM -C 1 -S 1: 4
1, SVM -C 1 -S 1: 1
6, SVM -C 1 -S 1: 1
3, SVM -C 1 -S 2: 9
0, SVM -C 1 -S 2: 2
1, SVM -C 1 -S 3: 10
3, SVM -C 1 -S 3: 1
4, SVM -C 1 -S 3: 1
5, SVM -C 1 -S 3: 1
2, SVM -C 1 -S 4: 19
7, SVM -C 1 -S 4: 6
4, SVM -C 1 -S 4: 2
3, SVM -C 1 -S 4: 1
1, SVM -C 1 -S 4: 1
6, SVM -C 1 -S 4: 1
1, SVM -C 1 -S 5: 601
6, SVM -C 1 -S 5: 549
7, SVM -C 1 -S 5: 344
0, SVM -C 1 -S 5: 258
2, SVM -C 1 -S 5: 250
4, SVM -C 1 -S 5: 188
3, SVM -C 1 -S 5: 155
5, SVM -C 1 -S 5: 128
1, SVM -C 1 -S 6: 407
7, SVM -C 1 -S 6: 169
2, SVM -C 1 -S 6: 135
3, SVM -C 1 -S 6: 96
5, SVM -C 1 -S 6: 52
0, SVM -C 1 -S 6: 24
4, SVM -C 1 -S 6: 11
6, SVM -C 1 -S 6: 3
1, SVM -C 1 -S 7: 175
5, SVM -C 1 -S 7: 85
4, SVM -C 1 -S 7: 47
6, SVM -C 1 -S 7: 38
3, SVM -C 1 -S 7: 35
0, SVM -C 1 -S 7: 31
7, SVM -C 1 -S 7: 30
2, SVM -C 1 -S 7: 17
2, SVM -C 10 -S 0: 26
4, SVM -C 10 -S 0: 20
0, SVM -C 10 -S 0: 14
1, SVM -C 10 -S 0: 8
5, SVM -C 10 -S 0: 3
7, SVM -C 10 -S 0: 1
6, SVM -C 10 -S 0: 1
4, SVM -C 10 -S 1: 7
2, SVM -C 10 -S 2: 5
2, SVM -C 10 -S 4: 7
4, SVM -C 10 -S 4: 4
1, SVM -C 10 -S 4: 2
5, SVM -C 10 -S 4: 2
0, SVM -C 10 -S 6: 5302
7, SVM -C 10 -S 6: 3989
3, SVM -C 10 -S 6: 3613
5, SVM -C 10 -S 6: 3163
4, SVM -C 10 -S 6: 2669
1, SVM -C 10 -S 6: 2053
6, SVM -C 10 -S 6: 1895
2, SVM -C 10 -S 6: 1256
6, SVM -C 10 -S 7: 131
3, SVM -C 10 -S 7: 32
2, SVM -C 10 -S 7: 18
0, SVM -C 10 -S 7: 5
1, SVM -C 10 -S 7: 5
4, SVM -C 10 -S 7: 4
7, SVM -C 10 -S 7: 2
5, SVM -C 10 -S 7: 2
2, SVM -C 100 -S 1: 30
1, SVM -C 100 -S 1: 18
6, SVM -C 100 -S 1: 18
2, SVM -C 100 -S 2: 4
1, SVM -C 100 -S 3: 8
2, SVM -C 100 -S 4: 5
3, SVM -C 100 -S 4: 5
0, SVM -C 100 -S 4: 4
4, SVM -C 100 -S 4: 1
3, SVM -C 100 -S 6: 665
0, SVM -C 100 -S 6: 405
7, SVM -C 100 -S 6: 396
4, SVM -C 100 -S 6: 272
6, SVM -C 100 -S 6: 191
2, SVM -C 100 -S 6: 156
5, SVM -C 100 -S 6: 106
1, SVM -C 100 -S 6: 45
0, SVM -C 100 -S 7: 16
7, SVM -C 100 -S 7: 16
2, SVM -C 100 -S 7: 8
4, SVM -C 100 -S 7: 5
6, SVM -C 100 -S 7: 3
3, SVM -C 100 -S 7: 3
1, SVM -C 100 -S 7: 1]
