final solution
[NaiveBayes : 537
SVM -C 0.1 -S 0: 330
SVM -C 0.01 -S 4: 289
SVM -C 10 -S 6: 261
SVM -C 0.01 -S 7: 233
SVM -C 0.01 -S 2: 145
SVM -C 0.01 -S 3: 99
SVM -C 0.01 -S 0: 86
SVM -C 0.1 -S 7: 76
SVM -C 1 -S 5: 56
SVM -C 0.01 -S 1: 44
SVM -C 1 -S 6: 26
SVM -C 100 -S 6: 18
SVM -C 1 -S 0: 3
SVM -C 10 -S 7: 1
SVM -C 0.1 -S 4: 1
SVM -C 0.1 -S 3: 1]
[7: 396
1: 324
4: 318
6: 291
5: 287
3: 277
0: 229
2: 155]
[4: 229
5: 138
3: 69
6: 51
7: 11
2: 1
8: 1]

feature-classifier correlation
[7, NaiveBayes : 38539
4, SVM -C 1 -S 0: 159
3, SVM -C 1 -S 0: 158
7, SVM -C 1 -S 0: 139
2, SVM -C 1 -S 0: 18
7, SVM -C 1 -S 1: 84
3, SVM -C 1 -S 1: 20
1, SVM -C 1 -S 1: 5
2, SVM -C 1 -S 1: 1
5, SVM -C 1 -S 2: 18
1, SVM -C 1 -S 2: 7
6, SVM -C 1 -S 2: 7
0, SVM -C 1 -S 2: 5
7, SVM -C 1 -S 2: 4
3, SVM -C 1 -S 2: 3
4, SVM -C 1 -S 2: 2
2, SVM -C 1 -S 3: 31
5, SVM -C 1 -S 3: 15
1, SVM -C 1 -S 3: 14
3, SVM -C 1 -S 3: 6
7, SVM -C 1 -S 3: 3
0, SVM -C 1 -S 3: 3
4, SVM -C 1 -S 3: 1
2, SVM -C 1 -S 4: 11
1, SVM -C 1 -S 4: 10
7, SVM -C 1 -S 4: 9
3, SVM -C 1 -S 4: 7
6, SVM -C 1 -S 4: 5
4, SVM -C 1 -S 4: 4
5, SVM -C 1 -S 4: 4
0, SVM -C 1 -S 4: 4
3, SVM -C 1 -S 5: 2545
1, SVM -C 1 -S 5: 2545
0, SVM -C 1 -S 5: 1311
7, SVM -C 1 -S 5: 1274
6, SVM -C 1 -S 5: 1146
2, SVM -C 1 -S 5: 1046
5, SVM -C 1 -S 5: 1030
4, SVM -C 1 -S 5: 630
3, SVM -C 1 -S 6: 937
7, SVM -C 1 -S 6: 689
6, SVM -C 1 -S 6: 636
5, SVM -C 1 -S 6: 632
1, SVM -C 1 -S 6: 599
4, SVM -C 1 -S 6: 462
0, SVM -C 1 -S 6: 301
2, SVM -C 1 -S 6: 251
5, SVM -C 1 -S 7: 448
0, SVM -C 1 -S 7: 366
3, SVM -C 1 -S 7: 331
7, SVM -C 1 -S 7: 288
6, SVM -C 1 -S 7: 202
4, SVM -C 1 -S 7: 164
2, SVM -C 1 -S 7: 158
1, SVM -C 1 -S 7: 123
7, SVM -C 10 -S 0: 84
3, SVM -C 10 -S 0: 39
1, SVM -C 10 -S 0: 36
0, SVM -C 10 -S 0: 30
6, SVM -C 10 -S 0: 18
5, SVM -C 10 -S 0: 11
4, SVM -C 10 -S 0: 8
2, SVM -C 10 -S 0: 6
3, SVM -C 10 -S 1: 40
0, SVM -C 10 -S 1: 19
5, SVM -C 10 -S 1: 19
4, SVM -C 10 -S 1: 15
7, SVM -C 10 -S 1: 15
2, SVM -C 10 -S 1: 4
6, SVM -C 10 -S 1: 4
6, SVM -C 10 -S 2: 5
3, SVM -C 10 -S 2: 3
1, SVM -C 10 -S 2: 2
7, SVM -C 10 -S 2: 2
5, SVM -C 10 -S 3: 26
7, SVM -C 10 -S 3: 25
3, SVM -C 10 -S 3: 2
1, SVM -C 10 -S 3: 1
6, SVM -C 10 -S 3: 1
1, SVM -C 10 -S 4: 19
2, SVM -C 10 -S 4: 11
4, SVM -C 10 -S 4: 2
6, SVM -C 10 -S 4: 2
5, SVM -C 10 -S 4: 2
0, SVM -C 10 -S 4: 1
7, SVM -C 10 -S 4: 1
3, SVM -C 10 -S 6: 9586
0, SVM -C 10 -S 6: 9533
7, SVM -C 10 -S 6: 9281
4, SVM -C 10 -S 6: 6811
6, SVM -C 10 -S 6: 4984
1, SVM -C 10 -S 6: 4840
5, SVM -C 10 -S 6: 4816
2, SVM -C 10 -S 6: 4599
3, SVM -C 10 -S 7: 55
7, SVM -C 10 -S 7: 33
6, SVM -C 10 -S 7: 33
2, SVM -C 10 -S 7: 30
4, SVM -C 10 -S 7: 22
5, SVM -C 10 -S 7: 17
1, SVM -C 10 -S 7: 11
3, SVM -C 100 -S 0: 38
4, SVM -C 100 -S 0: 10
0, SVM -C 100 -S 0: 8
1, SVM -C 100 -S 0: 7
6, SVM -C 100 -S 0: 4
2, SVM -C 100 -S 0: 1
5, SVM -C 100 -S 0: 1
7, SVM -C 100 -S 0: 1
4, SVM -C 100 -S 1: 27
0, SVM -C 100 -S 1: 3
5, SVM -C 100 -S 1: 1
4, SVM -C 100 -S 2: 4
2, SVM -C 100 -S 3: 7
0, SVM -C 100 -S 3: 6
3, SVM -C 100 -S 3: 5
1, SVM -C 100 -S 3: 2
5, SVM -C 100 -S 3: 1
4, SVM -C 100 -S 3: 1
2, SVM -C 100 -S 4: 12
6, SVM -C 100 -S 4: 9
4, SVM -C 100 -S 4: 8
1, SVM -C 100 -S 4: 4
5, SVM -C 100 -S 4: 3
7, SVM -C 100 -S 6: 1444
5, SVM -C 100 -S 6: 1189
0, SVM -C 100 -S 6: 769
4, SVM -C 100 -S 6: 743
3, SVM -C 100 -S 6: 671
6, SVM -C 100 -S 6: 604
2, SVM -C 100 -S 6: 481
1, SVM -C 100 -S 6: 278
1, SVM -C 100 -S 7: 36
6, SVM -C 100 -S 7: 9
4, SVM -C 100 -S 7: 9
2, SVM -C 100 -S 7: 7
3, SVM -C 100 -S 7: 2
7, SVM -C 100 -S 7: 2
5, SVM -C 100 -S 7: 1]
